job,release,stage,drafter,pm,job_name,days_stale,fab_hrs,fab_order
390,534,Welded QC,CBA,RL,Thompson Thrift - Heritage on Hover,2.0849163797337966,13.75,8.0
440,520,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,2.084835979375,6.0,6.0
190,550,Fit Up Complete.,DCR,GA,Hinton - Metro Center,2.0005262389814815,10.0,15.0
170,567,Cut start,DCR,RL,Garrett -Banyan High Point,1.9180332925925925,101.63,20.0
560,526,Cut start,CBA,GA,Wood Partners - Alta Metro Center,1.9179440460532409,8.25,21.0
615,551,Cut start,CBA,DR,Schuler Residence - Fencing,1.917784772685185,23.22,80.55
420,498,Cut start,DEP,DR,Thompson Thrift - The Stacks at Wheat Ridge,1.9170161124884262,3.0,80.555
440,508,Cut start,DCR,RL,Evergreen - Outlook Green Valley Ranch,1.9169513818287036,16.0,80.555
170,568,Cut start,DCR,RL,Garrett -Banyan High Point,1.916562529537037,2.5,80.555
380,525,Cut start,DCR,GA,Brinkman - Marshall Pointe,1.9164446262500001,14.13,80.555
530,468,Shipping planning,CBA,DR,Shaw - East Oak Townhomes,1.1780753966319444,1.9,2.0
170,516,Fitup Start,DCR,RL,Garrett -Banyan High Point,1.177005710925926,20.0,17.0
170,504,Welded QC,DCR,RL,Garrett -Banyan High Point,1.174741654849537,1.5,14.0
380,258,Store at MHMW for shipping,CBA,GA,Brinkman - Marshall Pointe,1.1675809854282408,12.1,2.0
500,543,Fitup Start,DCR,GA,Brinkman - Novel Flatiron,1.1652576478819445,53.37,16.5
440,486,Shipping planning,DEP,RL,Evergreen - Outlook Green Valley Ranch,1.145200219363426,6.0,2.0
410,136,Shipping planning,CBA,RL,Lennar - Columnbine Square,1.1450351299074075,36.3,2.0
410,137,Shipping planning,CBA,RL,Lennar - Columnbine Square,1.1446609182407408,36.3,2.0
410,138,Shipping planning,CBA,RL,Lennar - Columnbine Square,1.1446046559837963,36.3,2.0
190,484,Paint Start,DCR,GA,Hinton - Metro Center,1.1084742628472222,59.7,3.0
440,492,Paint complete,DEP,RL,Evergreen - Outlook Green Valley Ranch,1.0980149548726852,6.0,2.0
440,490,Paint complete,DEP,RL,Evergreen - Outlook Green Valley Ranch,1.0979537383217592,6.0,2.0
500,548,Fit Up Complete.,DCR,GA,Brinkman - Novel Flatiron,1.0583734988194444,106.0,19.0
596,411,Fitup Start,CBA,RL,Burback Residence,1.0518051696875,9.63,13.0
480,433,Store at MHMW for shipping,DCR,GA,Wood Partners - Alta Flatirons,1.021063000474537,0.0,2.0
170,460,Paint complete,DCR,RL,Garrett -Banyan High Point,1.013960385486111,5.0,2.0
440,450,Paint complete,DCR,RL,Evergreen - Outlook Green Valley Ranch,1.0138735895949074,6.0,2.0
170,446,Paint complete,DCR,RL,Garrett -Banyan High Point,1.013762668726852,3.5,2.0
440,517,Welded QC,DCR,RL,Evergreen - Outlook Green Valley Ranch,0.8906138922222223,6.0,5.0
450,531,Paint complete,DCR,DR,Marrow - Sandstone Ranch,0.8037665608217592,1.0,2.0
