Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
330,447,330-447,Brinkmann - Aspendale Littleton Senior,Roof Access Ladder,Shipping completed,COMPLETE,X,MFP,X,X
330,603,330-603,Brinkmann - Aspendale Littleton Senior,Stair Core 3,Shipping completed,COMPLETE,0.9,0.9,X,X
330,615,330-615,Brinkmann - Aspendale Littleton Senior,Stair Core 2,Shipping completed,COMPLETE,0.9,0.9,X,X
330,628,330-628,Brinkmann - Aspendale Littleton Senior,Stair Core 1,Shipping completed,COMPLETE,0.9,0.9,X,X
330,653,330-653,Brinkmann - Aspendale Littleton Senior,Stair Core 4,Shipping completed,COMPLETE,0.9,0.9,X,X
330,749,330-749,Brinkmann - Aspendale Littleton Senior,Stair Core 1 Replacement,Shipping completed,COMPLETE,X,0.9,X,X
330,858,330-858,Brinkmann - Aspendale Littleton Senior,Wood Ultralox Balcony Rails P1 of 10,Shipping completed,COMPLETE,,,X,X
330,874,330-874,Brinkmann - Aspendale Littleton Senior,Ultralox Balcony North&West P1 of 4,Shipping completed,COMPLETE,,,X,X
330,879,330-879,Brinkmann - Aspendale Littleton Senior,Concrete Ultralox Balcony Rails P1 of 3,Shipping completed,COMPLETE,,,X,X
330,899,330-899,Brinkmann - Aspendale Littleton Senior,Embeds for Coverd Walkway,Shipping completed,COMPLETE,,,X,X
330,V295,330-V295,Brinkmann - Aspendale Littleton Senior,Balcony Ultralox Saddles ,Shipping completed,COMPLETE,,,X,X
330,V467,330-V467,Brinkmann - Aspendale Littleton Senior,Missing Ultralox Panels ,Shipping completed,COMPLETE,,,X,X
330,V497,330-V497,Brinkmann - Aspendale Littleton Senior,Covered Walk Way Flat Bar ,Shipping completed,COMPLETE,,,X,X
340,117,340-117,AMLI - Littleton Village II,Commercial Awnings,Shipping completed,COMPLETE,,,X,X
340,411,340-411,AMLI - Littleton Village II,Awning Embeds,Shipping completed,COMPLETE,X,O,X,X
340,421,340-421,AMLI - Littleton Village II,Structural Steel,Shipping completed,COMPLETE,0.9,M,X,X
340,584,340-584,AMLI - Littleton Village II,CMU Wall Atachment,Shipping completed,COMPLETE,X,O,X,X
340,613,340-613,AMLI - Littleton Village II,Balcony embeds at 3rd floor podium,Shipping completed,COMPLETE,X,O,X,X
340,647,340-647,AMLI - Littleton Village II,Awning Clevis Embeds,Shipping completed,COMPLETE,X,O,X,X
340,711,340-711,AMLI - Littleton Village II,Flitch beams Contract - Drop Shipped,Shipping completed,COMPLETE,,X,X,X
340,722,340-722,AMLI - Littleton Village II,CO#7 Amenity Level 2 Steel Beam Change,Shipping completed,COMPLETE,O,,X,X
340,729,340-729,AMLI - Littleton Village II,Leasing Center Awnigns,Shipping completed,COMPLETE,,,X,X
340,830,340-830,AMLI - Littleton Village II,Flitch beam Replacement,Shipping completed,COMPLETE,,,X,X
340,849,340-849,AMLI - Littleton Village II,Loose Lintels,Shipping completed,COMPLETE,,,X,X
340,855,340-855,AMLI - Littleton Village II,Stand offs for Wood Frame Balconies,Shipping completed,COMPLETE,,,X,X
340,887,340-887,AMLI - Littleton Village II,CMU Wall Atachment Angles,Shipping completed,COMPLETE,,,X,X
340,894,340-894,AMLI - Littleton Village II,Hanging Brick Relief At Storefront,Shipping completed,COMPLETE,,,X,X
340,V163,340-V163,AMLI - Littleton Village II,Missed Saddles in Leasing Center,Shipping completed,COMPLETE,,,X,X
340,V261,340-V261,AMLI - Littleton Village II,Missing Flitch Beam Plates,Shipping completed,COMPLETE,,,X,X
340,V439,340-V439,AMLI - Littleton Village II,Leasing Fireplace Steel Missing Embed Fix,Shipping completed,COMPLETE,,,X,X
340,V441,340-V441,AMLI - Littleton Village II,4th Floor Missed Flitch Beams,Shipping completed,COMPLETE,,,X,X
340,V516,340-V516,AMLI - Littleton Village II,Steel hung Balcony Template,Shipping completed,COMPLETE,,,X,X
340,V553,340-V553,AMLI - Littleton Village II,Column Embed plate Fixes - RFI 134,Shipping completed,COMPLETE,,,X,X
340,V761,340-V761,AMLI - Littleton Village II,Missing Clevis Rods,Shipping completed,COMPLETE,,,X,X
340,V922,340-V922,AMLI - Littleton Village II,Column Angle Iron Fixes,Shipping completed,COMPLETE,X,O,X,X
340,V992,340-V992,AMLI - Littleton Village II,Missing flitch Beams @ stair D,Shipping completed,COMPLETE,,,X,X
370,510,370-510,Fairfield - Vista Highlands,Roof Access Ladder Type C Bld 15,Shipping completed,COMPLETE,O,MFP,X,X
370,528,370-528,Fairfield - Vista Highlands,Bld 3 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,X,M,X,X
370,529,370-529,Fairfield - Vista Highlands,Bld 4 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,X,M,X,X
370,558,370-558,Fairfield - Vista Highlands,Bld 5 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,O,M,X,X
370,560,370-560,Fairfield - Vista Highlands,Bld 6 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,O,M,X,X
370,562,370-562,Fairfield - Vista Highlands,Bld 7 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,,M,X,X
370,564,370-564,Fairfield - Vista Highlands,Bld 8 Ultralox Remainder Balcony Rails,Shipping completed,COMPLETE,,M,X,X
370,734,370-734,Fairfield - Vista Highlands,Bld 14 & 15 Replacement WG,Shipping completed,COMPLETE,X,O,X,X
370,V982,370-V982,Fairfield Development - Vista Highlands,Bld 8 Ultralox 2.0 ,Shipping completed,COMPLETE,,,X,X
380,112,380-112,Brinkman - Marshall Pointe,Garage Pipe Protection,Shipping completed,COMPLETE,,,X,X
380,715,380-715,Brinkman - Marshall Pointe,Hammock Posts,Shipping completed,COMPLETE,,,X,X
380,735,380-735,Brinkman - Marshall Pointe,Garage Stair Core 2 Cane Rail,Shipping completed,COMPLETE,X,MFP,X,X
380,V176,380-V176,Brinkman - Marshall Pointe,North CY Ultralox,Shipping completed,COMPLETE,,,X,X
380,V510,380-V510,Brinkman - Marshall Pointe,WHG extension,Shipping completed,COMPLETE,O,,X,X
385,184,385-184,Brinkmann - Gallary @ Fort Collins,Barrier Gate,Shipping completed,COMPLETE,,,X,X
385,883,385-883,Brinkmann - Gallary @ Fort Collins,Memory Garden Handgrabs,Shipping completed,COMPLETE,,,X,X
385,895,385-895,Brinkmann - Gallary @ Fort Collins,Roof Top Grating Stair,Shipping completed,COMPLETE,,,X,X
390,328,390-328,Thompson Thrift - Heritage on Hover,Bld B East Stair Core,Shipping completed,COMPLETE,,,X,X
390,329,390-329,Thompson Thrift - Heritage on Hover,Bld B West Stair Core,Shipping completed,COMPLETE,,,X,X
390,330,390-330,Thompson Thrift - Heritage on Hover,Bld C East Stair Core,Shipping completed,COMPLETE,,,X,X
390,331,390-331,Thompson Thrift - Heritage on Hover,Bld C West Stair Core,Shipping completed,COMPLETE,,,X,X
390,751,390-751,Thompson Thrift - Heritage on Hover,Interior Window Frame,Shipping completed,COMPLETE,O,,X,X
390,V186,390-V186,Thompson Thrift - Heritage on Hover,Missing Wing ,Shipping completed,COMPLETE,,,X,X
400,155,400-155,Mountain West Contractors - Fieldhouse (Idaho Springs),Extra Trash Enclosure Panels,Shipping completed,COMPLETE,,,X,X
400,336,400-336,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 3 Stair Core 5,Shipping completed,COMPLETE,0.9,0.9,X,X
400,340,400-340,Mountain West Contractors - Fieldhouse (Idaho Springs),Building 3 Stair Core 6,Shipping completed,COMPLETE,0.9,0.9,X,X
